date,open,high,low,close,volume,amount
2019-01-02,520.78,522.51,508.0,511.39,6228649.0,3754387984.0
2019-01-03,512.23,513.68,500.14,503.72,3097735.0,1838179174.0
2019-01-04,501.4,518.81,496.91,513.97,3768347.0,2258501484.0
2019-01-07,519.09,522.51,514.16,516.95,3475013.0,2105981461.0
2019-01-08,516.96,522.51,512.5,516.35,2883813.0,1750413219.0
2019-01-09,520.79,534.59,519.98,526.02,4989227.0,3084214779.0
2019-01-10,526.89,533.5,521.01,528.29,2904390.0,1797683134.0
2019-01-11,533.6,543.85,528.27,542.89,3888421.0,2445929483.0
2019-01-14,540.43,542.9,530.66,533.26,2564890.0,1606308126.0
2019-01-15,536.05,564.77,533.6,563.47,5576485.0,3613919068.0
2019-01-16,561.78,568.31,558.02,564.43,4208364.0,2775103930.0
2019-01-17,566.05,571.77,559.9,562.85,3028476.0,2004454115.0
2019-01-18,567.76,589.27,564.77,583.64,6860918.0,4647515824.0
2019-01-21,589.1,596.68,582.17,586.52,4705193.0,3242615722.0
2019-01-22,585.68,585.68,567.94,572.88,4212221.0,2834735031.0
2019-01-23,569.65,575.87,566.16,568.32,3362481.0,2247371221.0
2019-01-24,572.28,578.71,567.48,574.16,2915527.0,1960227058.0
2019-01-25,577.04,584.75,571.96,580.31,2898635.0,1966232090.0
2019-01-28,583.98,592.5,577.17,578.0,3610287.0,2476277972.0
2019-01-29,578.43,587.39,570.32,584.83,3034259.0,2069407513.0
2019-01-30,584.82,585.87,577.15,577.15,2269996.0,1545353573.0
2019-01-31,580.56,588.76,578.48,588.76,3669657.0,2515374970.0
2019-02-01,595.11,596.78,588.77,591.38,3052062.0,2121326140.0
2019-02-11,593.37,622.82,587.55,619.24,5814075.0,4143849806.0
2019-02-12,617.27,619.4,610.61,612.94,3509143.0,2521840124.0
2019-02-13,617.27,628.51,612.34,627.73,3567706.0,2589623528.0
2019-02-14,624.27,634.91,623.37,629.36,3225813.0,2375987077.0
2019-02-15,627.42,627.42,617.29,618.79,2323798.0,1691515518.0
2019-02-18,624.1,636.01,624.1,631.79,3774589.0,2787522993.0
2019-02-19,632.61,633.92,620.4,623.9,2950150.0,2164408781.0
2019-02-20,627.52,627.52,611.35,616.42,3788237.0,2742919644.0
2019-02-21,614.71,623.66,612.15,614.93,2985040.0,2163554333.0
2019-02-22,612.15,621.96,609.68,619.84,2590877.0,1867253930.0
2019-02-25,623.89,635.58,613.0,633.78,8262259.0,6034261367.0
2019-02-26,638.45,639.63,619.84,620.99,5796466.0,4265279124.0
2019-02-27,625.81,647.17,624.1,632.39,6594227.0,4908445127.0
2019-02-28,629.99,651.78,629.18,644.6,5698625.0,4289145218.0
2019-03-01,650.14,674.48,649.72,673.88,6384023.0,4952509171.0
2019-03-04,678.74,681.59,663.56,667.53,8458596.0,6661386571.0
2019-03-05,670.21,674.09,662.42,665.75,4483056.0,3501155936.0
2019-03-06,661.67,665.51,653.88,655.69,4673137.0,3602140487.0
2019-03-07,650.76,650.76,636.53,639.13,6018053.0,4526351877.0
2019-03-08,629.99,637.62,626.37,629.65,5227525.0,3868415483.0
2019-03-11,631.82,654.8,631.82,647.62,5305724.0,4001728730.0
2019-03-12,652.12,652.13,630.93,636.07,5251001.0,3946382127.0
2019-03-13,636.48,649.5,636.48,643.74,4056136.0,3058080906.0
2019-03-14,646.3,670.21,643.74,664.23,6217256.0,4808607656.0
2019-03-15,662.52,672.34,653.0,663.63,5240071.0,4084798328.0
2019-03-18,664.91,695.42,663.38,691.63,8131880.0,6499566987.0
2019-03-19,685.58,689.78,676.44,676.7,4063493.0,3244967390.0
2019-03-20,674.48,684.98,670.21,676.87,3111752.0,2470811128.0
2019-03-21,672.77,676.87,667.22,670.85,3257328.0,2558222913.0
2019-03-22,672.96,683.0,670.21,677.89,3051750.0,2420497823.0
2019-03-25,671.06,672.77,660.22,662.18,3727046.0,2903744159.0
2019-03-26,665.94,671.01,652.36,659.96,3759569.0,2914112997.0
2019-03-27,666.79,677.79,661.67,673.2,4280739.0,3366132247.0
2019-03-28,677.4,695.38,670.79,688.82,5756676.0,4615969704.0
2019-03-29,712.9,739.94,708.77,729.11,9093396.0,7702154797.0
2019-04-01,734.24,741.88,726.56,733.39,6093461.0,5228521999.0
2019-04-02,734.23,734.23,713.8,725.7,5322705.0,4496538849.0
2019-04-03,717.27,727.19,712.22,721.01,4305680.0,3629854319.0
2019-04-04,717.16,739.19,713.92,738.51,5577236.0,4763897857.0
2019-04-08,768.39,775.22,759.96,768.56,6625193.0,5944780639.0
2019-04-09,770.95,775.39,762.0,772.66,4798980.0,4308645696.0
2019-04-10,770.95,812.7,768.39,809.36,6781438.0,6331858748.0
2019-04-11,809.37,811.08,773.13,789.91,6110254.0,5643817564.0
2019-04-12,776.07,785.46,768.4,780.34,4861217.0,4419349981.0
2019-04-15,794.86,801.69,774.37,774.37,4552264.0,4205548308.0
2019-04-16,772.57,802.46,769.43,802.46,4642344.0,4297385218.0
2019-04-17,800.83,815.78,789.73,812.79,4076102.0,3848216557.0
2019-04-18,807.16,815.07,799.31,807.24,1959852.0,1853076080.0
2019-04-19,805.92,820.43,795.12,813.26,3237978.0,3064971032.0
2019-04-22,819.19,835.74,803.06,810.4,4062796.0,3897168684.0
2019-04-23,811.93,837.73,810.4,832.38,4885205.0,4725480295.0
2019-04-24,836.59,845.23,812.12,828.15,4522700.0,4383873128.0
2019-04-25,827.12,831.56,812.12,813.1,3980134.0,3822767525.0
2019-04-26,807.92,819.51,806.81,806.81,4327768.0,4119727292.0
2019-04-29,806.81,844.38,798.27,829.84,5257230.0,5086408528.0
2019-04-30,826.45,840.93,822.27,831.57,3594318.0,3503937512.0
2019-05-06,790.16,798.27,762.41,773.51,13509968.0,12299395806.0
2019-05-07,762.65,780.29,742.97,759.85,10083726.0,9045117765.0
2019-05-08,734.24,769.93,734.24,755.07,8188298.0,7217709507.0
2019-05-09,747.05,751.2,719.3,733.22,9154515.0,7863312116.0
2019-05-10,747.61,777.59,741.23,774.47,7990738.0,7121198718.0
2019-05-13,767.42,777.76,754.73,761.56,4663718.0,4179329433.0
2019-05-14,755.58,773.51,745.34,756.92,5998312.0,5349455647.0
