date,open,high,low,close,volume,amount
2019-01-02,5.25,5.28,5.19,5.22,33328559.0,238296722.0
2019-01-03,5.22,5.25,5.2,5.25,24736911.0,177485219.0
2019-01-04,5.25,5.32,5.23,5.31,35343961.0,255742293.0
2019-01-07,5.33,5.37,5.31,5.33,42101919.0,308369737.0
2019-01-08,5.34,5.36,5.32,5.34,26065223.0,191078480.0
2019-01-09,5.39,5.41,5.33,5.34,37616326.0,277799749.0
2019-01-10,5.39,5.39,5.35,5.36,30102473.0,221781711.0
2019-01-11,5.38,5.39,5.35,5.38,21461189.0,157943174.0
2019-01-14,5.36,5.39,5.32,5.33,21518889.0,157683619.0
2019-01-15,5.34,5.36,5.33,5.35,25392221.0,186094725.0
2019-01-16,5.36,5.38,5.34,5.35,25576338.0,187967219.0
2019-01-17,5.36,5.36,5.32,5.33,22346146.0,163778737.0
2019-01-18,5.35,5.36,5.31,5.36,44226865.0,324003804.0
2019-01-21,5.38,5.4,5.36,5.39,40927399.0,302040345.0
2019-01-22,5.41,5.42,5.32,5.33,39914280.0,294229315.0
2019-01-23,5.32,5.33,5.29,5.29,27745951.0,202038405.0
2019-01-24,5.3,5.31,5.26,5.31,26758065.0,194166342.0
2019-01-25,5.31,5.33,5.29,5.31,36675181.0,267034666.0
2019-01-28,5.32,5.34,5.29,5.3,36675630.0,267529820.0
2019-01-29,5.28,5.31,5.25,5.3,34698401.0,251245309.0
2019-01-30,5.31,5.31,5.28,5.28,25554568.0,185679617.0
2019-01-31,5.31,5.34,5.28,5.33,45899364.0,334720838.0
2019-02-01,5.34,5.36,5.31,5.36,45587096.0,333705104.0
2019-02-11,5.33,5.38,5.32,5.36,44861456.0,329406059.0
2019-02-12,5.36,5.4,5.34,5.4,48893700.0,360408434.0
2019-02-13,5.4,5.52,5.39,5.49,101185832.0,755716612.0
2019-02-14,5.47,5.49,5.44,5.47,50792784.0,380961534.0
2019-02-15,5.46,5.5,5.43,5.43,40684843.0,304497480.0
2019-02-18,5.46,5.52,5.46,5.52,81292828.0,612639483.0
2019-02-19,5.52,5.55,5.49,5.53,84884371.0,642923169.0
2019-02-20,5.54,5.54,5.5,5.52,49597457.0,375427035.0
2019-02-21,5.52,5.54,5.47,5.48,71477845.0,539670537.0
2019-02-22,5.46,5.52,5.43,5.52,75517309.0,567358495.0
2019-02-25,5.52,5.72,5.52,5.72,211625670.0,1636201634.0
2019-02-26,5.68,5.75,5.63,5.68,159862765.0,1247082066.0
2019-02-27,5.67,5.79,5.66,5.71,134180341.0,1052128400.0
2019-02-28,5.73,5.74,5.67,5.71,90903349.0,711663008.0
2019-03-01,5.71,5.75,5.67,5.74,105034811.0,822261220.0
2019-03-04,5.74,5.85,5.71,5.77,194358740.0,1538655941.0
2019-03-05,5.75,5.76,5.69,5.74,141783053.0,1112282661.0
2019-03-06,5.73,5.85,5.72,5.82,200833682.0,1591998137.0
2019-03-07,5.79,5.81,5.75,5.79,166033653.0,1315739499.0
2019-03-08,5.74,5.75,5.58,5.58,154840494.0,1205115696.0
2019-03-11,5.58,5.62,5.54,5.62,110432684.0,845021339.0
2019-03-12,5.63,5.71,5.61,5.65,149263216.0,1158483739.0
2019-03-13,5.65,5.66,5.57,5.6,101263070.0,779380424.0
2019-03-14,5.63,5.68,5.56,5.59,99089540.0,764126489.0
2019-03-15,5.6,5.63,5.58,5.61,89442999.0,687066841.0
2019-03-18,5.6,5.7,5.59,5.69,126520789.0,980318688.0
2019-03-19,5.71,5.73,5.66,5.68,111315377.0,868546150.0
2019-03-20,5.68,5.7,5.62,5.66,98027619.0,761127703.0
2019-03-21,5.67,5.74,5.65,5.7,135233085.0,1055387210.0
2019-03-22,5.7,5.71,5.63,5.66,99361867.0,771770126.0
2019-03-25,5.59,5.6,5.53,5.54,125930158.0,962134696.0
2019-03-26,5.56,5.57,5.48,5.5,82069556.0,621132436.0
2019-03-27,5.52,5.52,5.49,5.5,54435104.0,411094402.0
2019-03-28,5.47,5.49,5.45,5.46,56216556.0,421594488.0
2019-03-29,5.46,5.55,5.45,5.54,87857838.0,663826519.0
2019-04-01,5.52,5.62,5.51,5.6,225952407.0,1726215902.0
2019-04-02,5.63,5.63,5.57,5.58,111855466.0,857669590.0
2019-04-03,5.58,5.64,5.57,5.63,128697591.0,989422798.0
2019-04-04,5.63,5.66,5.6,5.63,165772667.0,1281242640.0
2019-04-08,5.68,5.7,5.62,5.66,193283701.0,1502557892.0
2019-04-09,5.68,5.68,5.61,5.63,109721784.0,848963217.0
2019-04-10,5.62,5.62,5.57,5.6,104086471.0,798512964.0
2019-04-11,5.6,5.63,5.54,5.55,91052634.0,697055672.0
2019-04-12,5.55,5.57,5.53,5.57,68293665.0,520176146.0
2019-04-15,5.59,5.61,5.55,5.55,95604818.0,732990465.0
2019-04-16,5.52,5.63,5.49,5.63,124865356.0,952904914.0
2019-04-17,5.6,5.62,5.59,5.6,99635873.0,765933689.0
2019-04-18,5.59,5.63,5.58,5.59,74874496.0,576188417.0
2019-04-19,5.59,5.61,5.53,5.58,95548280.0,730173163.0
2019-04-22,5.6,5.71,5.57,5.63,209360734.0,1618522436.0
2019-04-23,5.66,5.66,5.58,5.61,123347789.0,950714269.0
2019-04-24,5.61,5.62,5.55,5.58,92598979.0,708828794.0
2019-04-25,5.56,5.57,5.47,5.47,99542227.0,754122491.0
2019-04-26,5.46,5.47,5.41,5.41,91558751.0,683215962.0
2019-04-29,5.4,5.44,5.37,5.39,74652785.0,553380657.0
2019-04-30,5.39,5.42,5.37,5.4,56516854.0,418280290.0
2019-05-06,5.33,5.44,5.21,5.35,180438834.0,1314310962.0
2019-05-07,5.32,5.33,5.28,5.31,71732293.0,522394071.0
2019-05-08,5.28,5.3,5.25,5.28,59923257.0,433551455.0
2019-05-09,5.25,5.29,5.25,5.25,53972965.0,390108930.0
2019-05-10,5.27,5.32,5.24,5.31,91288943.0,662518556.0
2019-05-13,5.28,5.35,5.23,5.28,111733150.0,808973456.0
2019-05-14,5.25,5.28,5.25,5.26,49887920.0,360154412.0
2019-05-15,5.27,5.31,5.25,5.3,99030589.0,716090370.0
2019-05-16,5.27,5.34,5.24,5.31,131814213.0,955631513.0
2019-05-17,5.29,5.3,5.24,5.25,81833435.0,591049436.0
2019-05-20,5.24,5.28,5.23,5.27,76025867.0,547576549.0
2019-05-21,5.25,5.28,5.25,5.27,55253158.0,399464338.0
2019-05-22,5.26,5.27,5.23,5.24,52820751.0,380377946.0
2019-05-23,5.23,5.25,5.19,5.25,132281535.0,947349642.0
2019-05-24,5.2,5.23,5.2,5.22,45428158.0,325247104.0
2019-05-27,5.21,5.24,5.2,5.23,45143882.0,323417057.0
2019-05-28,5.23,5.25,5.21,5.23,75671601.0,543183866.0
2019-05-29,5.22,5.23,5.21,5.21,42170829.0,301942047.0
2019-05-30,5.22,5.25,5.2,5.24,79113410.0,567790409.0
2019-05-31,5.23,5.24,5.21,5.21,45372108.0,325084883.0
2019-06-03,5.2,5.22,5.19,5.2,55275068.0,394458667.0
2019-06-04,5.2,5.2,5.16,5.17,47955483.0,340752980.0
2019-06-05,5.19,5.2,5.17,5.17,49377451.0,351169481.0
2019-06-06,5.17,5.17,5.12,5.12,57547868.0,406036820.0
2019-06-10,5.14,5.15,5.12,5.14,51282992.0,361294687.0
2019-06-11,5.14,5.2,5.12,5.18,111139114.0,787231806.0
2019-06-12,5.16,5.17,5.14,5.15,59802978.0,422801878.0
2019-06-13,5.13,5.15,5.1,5.15,85253361.0,598986587.0
2019-06-14,5.14,5.14,5.1,5.1,65323967.0,458622106.0
2019-06-17,5.1,5.12,5.09,5.11,51379526.0,359765743.0
2019-06-18,5.1,5.11,5.04,5.05,105195449.0,731450133.0
2019-06-19,5.09,5.09,5.05,5.06,115911936.0,805970528.0
2019-06-20,5.05,5.09,5.01,5.09,148395506.0,1029935199.0
2019-06-21,5.11,5.12,5.09,5.12,138172446.0,968827643.0
2019-06-24,5.12,5.12,5.09,5.11,83597755.0,584937388.0
2019-06-25,5.1,5.11,5.05,5.07,88656608.0,617401244.0
2019-06-26,5.07,5.1,5.07,5.09,88704328.0,619040837.0
2019-06-27,5.1,5.12,5.08,5.09,107193628.0,749754532.0
2019-06-28,5.1,5.1,5.06,5.08,58735606.0,403929420.0
2019-07-01,5.1,5.12,5.09,5.12,123018849.0,849985076.0
2019-07-02,5.1,5.11,5.09,5.1,69220383.0,477908890.0
2019-07-03,5.09,5.09,5.06,5.08,73325455.0,504150611.0
2019-07-04,5.08,5.1,5.07,5.09,67376194.0,463766206.0
2019-07-05,5.09,5.09,5.04,5.06,115304483.0,791068412.0
2019-07-08,5.06,5.06,4.96,4.98,118396878.0,801808842.0
2019-07-09,4.98,4.98,4.95,4.95,67967523.0,456469486.0
2019-07-10,4.96,4.96,4.9,4.92,67042587.0,447810897.0
2019-07-11,4.93,4.95,4.92,4.92,67040408.0,448215733.0
2019-07-12,4.92,4.94,4.9,4.92,48044859.0,320410969.0
2019-07-15,4.92,4.92,4.85,4.9,72128654.0,477702043.0
2019-07-16,4.9,4.9,4.88,4.89,47802359.0,316777657.0
2019-07-17,4.87,4.89,4.86,4.87,48891363.0,322892609.0
2019-07-18,4.86,4.87,4.82,4.82,76040219.0,498311241.0
2019-07-19,4.83,4.86,4.82,4.84,57948291.0,379940347.0
2019-07-22,4.84,4.84,4.76,4.76,84994174.0,551270067.0
2019-07-23,4.76,4.78,4.75,4.76,50822041.0,327567582.0
2019-07-24,4.76,4.8,4.76,4.78,62202602.0,402852461.0
2019-07-25,4.78,4.78,4.75,4.78,43038711.0,277975274.0
2019-07-26,4.76,4.85,4.75,4.83,116335248.0,757442497.0
2019-07-29,4.81,4.84,4.81,4.83,56523870.0,369504140.0
2019-07-30,4.84,4.84,4.82,4.83,47269200.0,309282604.0
2019-07-31,4.83,4.84,4.8,4.81,40173380.0,261776936.0
2019-08-01,4.79,4.8,4.76,4.77,50752817.0,328507065.0
2019-08-02,4.71,4.71,4.66,4.67,95839322.0,607698285.0
2019-08-05,4.66,4.67,4.61,4.61,65246356.0,409216740.0
2019-08-06,4.56,4.57,4.53,4.55,90367104.0,556623325.0
2019-08-07,4.55,4.64,4.53,4.58,88996986.0,551871342.0
2019-08-08,4.56,4.58,4.55,4.56,57586013.0,355890045.0
2019-08-09,4.57,4.59,4.53,4.56,56478575.0,348868483.0
2019-08-12,4.56,4.57,4.54,4.57,41709671.0,257521139.0
2019-08-13,4.56,4.56,4.53,4.53,42810762.0,263203285.0
2019-08-14,4.56,4.57,4.53,4.53,48662603.0,299794558.0
2019-08-15,4.47,4.51,4.45,4.5,57756532.0,350652907.0
2019-08-16,4.5,4.52,4.48,4.5,44962180.0,274045605.0
