date,open,high,low,close,volume
2019-01-02,2497.881,2500.278,2456.423,2465.291,10993201300
2019-01-03,2461.783,2488.479,2455.926,2464.363,12439749700
2019-01-04,2446.019,2515.316,2440.907,2514.868,16887766700
2019-01-07,2528.699,2536.978,2515.508,2533.089,17730501000
2019-01-08,2530.3,2531.345,2520.165,2526.462,15809918100
2019-01-09,2536.417,2574.408,2536.157,2544.345,19188793000
2019-01-10,2543.853,2551.826,2531.664,2535.099,15987432600
2019-01-11,2539.549,2554.787,2533.359,2553.831,14944410000
2019-01-14,2553.328,2556.294,2533.01,2535.765,14482546400
2019-01-15,2537.37,2571.502,2532.433,2570.345,16026553000
2019-01-16,2569.07,2574.236,2563.006,2570.422,14930153900
2019-01-17,2573.576,2582.556,2557.711,2559.637,16246813400
2019-01-18,2567.739,2598.884,2565.904,2596.006,19076723700
2019-01-21,2599.058,2618.98,2599.058,2610.509,16342511500
2019-01-22,2609.642,2609.642,2573.062,2579.704,15253777300
2019-01-23,2575.258,2589.513,2572.405,2581.004,13142679800
2019-01-24,2584.648,2597.289,2569.7,2591.694,15404204600
2019-01-25,2596.262,2617.002,2595.629,2601.723,15939402600
2019-01-28,2615.712,2630.318,2591.1,2596.977,14698176500
2019-01-29,2592.355,2601.736,2559.982,2594.254,15558111200
2019-01-30,2584.746,2598.815,2575.409,2575.576,12050257100
2019-01-31,2581.332,2606.628,2571.579,2584.572,15430386900
2019-02-01,2597.778,2618.477,2590.554,2618.232,13198685000
2019-02-11,2613.174,2654.096,2613.174,2653.896,15489885800
2019-02-12,2654.035,2674.478,2648.83,2671.894,18410117900
2019-02-13,2674.52,2727.075,2666.522,2721.068,24379401000
2019-02-14,2715.536,2729.455,2707.487,2719.7,19703734900
2019-02-15,2712.786,2715.632,2679.785,2682.385,19600426500
2019-02-18,2699.817,2754.357,2699.817,2754.357,26043600700
2019-02-19,2759.496,2780.784,2737.586,2755.646,28804627100
2019-02-20,2761.059,2767.411,2739.978,2761.219,24597252700
2019-02-21,2759.938,2794.013,2744.976,2751.801,29864996900
2019-02-22,2749.462,2804.226,2736.332,2804.226,30148141100
2019-02-25,2838.39,2961.795,2838.39,2961.283,52865859000
2019-02-26,2969.098,2995.676,2938.623,2941.516,56555796700
2019-02-27,2939.929,2997.488,2924.643,2953.824,47497645300
2019-02-28,2950.055,2965.304,2930.195,2940.954,35020660200
2019-03-01,2954.402,2994.005,2930.835,2994.005,34578620000
2019-03-04,3015.943,3090.796,3006.942,3027.576,52564943600
2019-03-05,3019.88,3054.962,3009.448,3054.247,42414252900
2019-03-06,3060.433,3103.825,3050.111,3102.099,55500636500
2019-03-07,3103.668,3129.94,3074.978,3106.418,58381706500
2019-03-08,3038.336,3075.046,2969.582,2969.861,57785547300
2019-03-11,2969.08,3028.254,2963.583,3026.993,42621302900
2019-03-12,3049.084,3093.391,3029.9,3060.307,51117315800
2019-03-13,3062.327,3065.288,3013.932,3026.951,45321462500
2019-03-14,3013.597,3041.156,2968.824,2990.685,37314179800
2019-03-15,3000.879,3048.121,2999.432,3021.751,34120613900
2019-03-18,3027.801,3096.418,3009.507,3096.418,39779717900
2019-03-19,3099.897,3113.433,3076.363,3090.975,35090886000
2019-03-20,3084.17,3102.52,3053.452,3090.64,35855750500
2019-03-21,3094.125,3125.019,3086.85,3101.455,41425118200
2019-03-22,3100.726,3107.275,3064.884,3104.149,36484834600
2019-03-25,3058.802,3086.996,3041.95,3043.031,38027876200
2019-03-26,3057.559,3062.69,2988.491,2997.095,35349802100
2019-03-27,3012.257,3022.762,2987.772,3022.72,29139035700
2019-03-28,3009.799,3025.779,2991.779,2994.943,28810642500
2019-03-29,3000.678,3093.033,2999.987,3090.758,37508299100
2019-04-01,3111.662,3176.622,3111.662,3170.361,46612469300
2019-04-02,3183.274,3193.272,3164.907,3176.823,44706898100
2019-04-03,3159.147,3219.256,3152.332,3216.295,43054863500
2019-04-04,3233.689,3254.14,3216.855,3246.571,46911766900
2019-04-08,3271.272,3288.453,3210.515,3244.81,50451840300
2019-04-09,3240.394,3251.646,3215.705,3239.664,36416999700
2019-04-10,3224.645,3264.778,3204.879,3241.93,38013440800
2019-04-11,3241.547,3254.126,3185.546,3189.962,35303187900
2019-04-12,3184.86,3199.278,3168.042,3188.626,28978899600
2019-04-15,3233.458,3253.976,3177.27,3177.787,34880978500
2019-04-16,3164.397,3253.598,3153.206,3253.598,35791875200
2019-04-17,3250.152,3275.334,3239.805,3263.118,35754179600
2019-04-18,3261.074,3271.388,3241.826,3250.201,32553994200
2019-04-19,3250.145,3274.335,3226.812,3270.797,31519800400
2019-04-22,3278.491,3279.489,3206.878,3215.043,35321738700
2019-04-23,3211.872,3231.582,3186.757,3198.594,32836120700
2019-04-24,3203.559,3210.651,3156.607,3201.614,27487216400
2019-04-25,3190.585,3193.749,3123.026,3123.826,32587912900
2019-04-26,3108.164,3129.213,3085.805,3086.399,28087385400
2019-04-29,3090.633,3107.761,3050.026,3062.499,29211488600
2019-04-30,3052.622,3088.407,3052.622,3078.339,22230251700
2019-05-06,2984.727,2986.54,2876.469,2906.464,32697226900
2019-05-07,2914.291,2937.283,2889.073,2926.391,25328176900
2019-05-08,2873.143,2929.431,2866.704,2893.757,23153051900
2019-05-09,2871.197,2888.86,2845.037,2850.954,20004113300
2019-05-10,2878.234,2941.454,2838.385,2939.211,28230680800
2019-05-13,2905.067,2921.41,2892.175,2903.713,21202988200
2019-05-14,2872.834,2909.204,2872.834,2883.611,20834535300
2019-05-15,2902.642,2945.395,2902.642,2938.678,23051970100
2019-05-16,2933.495,2956.171,2929.065,2955.711,24838570100
2019-05-17,2955.767,2956.783,2873.8,2882.296,26630164300
2019-05-20,2874.801,2882.629,2838.453,2870.605,20947244200
2019-05-21,2867.707,2919.237,2862.495,2905.969,21138702200
2019-05-22,2905.524,2912.395,2879.644,2891.705,20002690500
2019-05-23,2880.843,2885.139,2846.956,2852.515,19734030900
2019-05-24,2847.836,2871.856,2846.022,2852.995,16720549000
2019-05-27,2851.281,2898.129,2833.036,2892.378,19672090200
2019-05-28,2890.266,2924.04,2887.084,2909.911,22331055700
2019-05-29,2894.83,2934.977,2890.665,2914.696,19895882100
2019-05-30,2903.425,2907.846,2881.38,2905.805,20575878900
2019-05-31,2904.498,2922.908,2895.578,2898.696,19523058000
2019-06-03,2901.742,2920.829,2875.902,2890.081,21594355400
2019-06-04,2887.641,2888.386,2851.973,2862.28,18846354100
2019-06-05,2882.937,2888.768,2858.572,2861.418,18156104700
2019-06-06,2862.333,2862.333,2822.185,2827.798,17706441100
2019-06-10,2833.015,2861.131,2824.355,2852.13,16658591800
