date,open,high,low,close,volume,amount
2019-01-02,22.98,23.54,22.0,22.18,8216189.0,287075478.0
2019-01-03,22.08,22.28,21.19,21.45,8063946.0,268472109.0
2019-01-04,21.17,22.36,21.17,22.12,8216423.0,277376005.0
2019-01-07,22.12,22.39,21.8,21.96,8212526.0,278509921.0
2019-01-08,21.79,22.18,21.54,21.94,7455509.0,251892562.0
2019-01-09,22.05,23.2,21.81,22.71,12150553.0,424805982.0
2019-01-10,22.57,22.58,22.18,22.49,7169042.0,247384387.0
2019-01-11,22.49,22.94,22.06,22.94,7285215.0,253681873.0
2019-01-14,22.82,22.94,22.18,22.29,6401234.0,221357525.0
2019-01-15,22.25,24.52,22.14,24.52,16648987.0,596150163.0
2019-01-16,24.32,24.38,23.74,23.92,13138450.0,486804989.0
2019-01-17,23.81,24.35,23.46,23.92,9741348.0,360256740.0
2019-01-18,23.89,24.81,23.89,24.38,12479870.0,471132106.0
2019-01-21,24.48,25.29,24.48,24.79,10316646.0,396452671.0
2019-01-22,24.71,24.71,23.91,24.05,8397786.0,312138091.0
2019-01-23,23.87,24.26,23.81,24.0,4538090.0,168346369.0
2019-01-24,24.03,24.64,23.96,24.64,7464781.0,280451674.0
2019-01-25,24.7,25.03,24.45,24.73,8118627.0,310363074.0
2019-01-28,24.9,25.87,24.71,24.93,9180977.0,357974125.0
2019-01-29,25.02,25.95,24.26,25.93,12560170.0,494052201.0
2019-01-30,25.62,26.33,25.36,25.57,8639311.0,343911080.0
2019-01-31,25.59,26.14,25.18,25.9,8527524.0,337959883.0
2019-02-01,26.01,26.14,25.58,25.93,7917508.0,315514617.0
2019-02-11,25.99,27.56,25.3,27.02,11102793.0,452350698.0
2019-02-12,26.88,28.59,26.75,28.17,11774392.0,505811442.0
2019-02-13,28.39,28.73,27.9,28.5,7142790.0,311778811.0
2019-02-14,28.24,29.9,28.15,29.1,9218236.0,415193785.0
2019-02-15,29.1,29.1,28.47,28.81,5987401.0,265513585.0
2019-02-18,28.92,31.19,28.92,30.71,10533909.0,489390105.0
2019-02-19,30.93,31.16,30.0,30.34,7675780.0,360527033.0
2019-02-20,29.98,30.93,29.96,30.89,7657382.0,360137999.0
2019-02-21,30.74,31.13,30.16,30.74,5591642.0,265316592.0
2019-02-22,30.41,30.61,29.86,30.48,6907282.0,321836213.0
2019-02-25,30.47,32.28,29.94,31.69,13002465.0,614871367.0
2019-02-26,31.14,31.51,30.92,30.92,8616386.0,413508756.0
2019-02-27,30.99,32.62,30.93,31.33,11398983.0,560948726.0
2019-02-28,31.13,32.85,30.81,32.16,8331480.0,410626764.0
2019-03-01,32.43,34.22,32.33,34.05,13151045.0,674756081.0
2019-03-04,34.3,36.68,33.72,35.18,13538796.0,731496070.0
2019-03-05,35.22,36.39,34.9,35.86,10711213.0,590691838.0
2019-03-06,35.36,36.08,35.0,35.73,8203569.0,449557472.0
2019-03-07,35.31,35.34,33.21,34.22,15151947.0,796938606.0
2019-03-08,33.08,33.85,32.47,33.2,9972704.0,509711051.0
2019-03-11,32.88,35.46,32.88,35.02,10933289.0,579972189.0
2019-03-12,35.67,35.77,34.37,34.53,7480997.0,403183001.0
2019-03-13,34.37,35.45,33.85,33.95,6501663.0,345265916.0
2019-03-14,34.18,35.01,33.53,34.49,6605765.0,350410368.0
2019-03-15,34.37,36.24,33.95,35.68,9234779.0,504979509.0
2019-03-18,35.99,38.91,35.77,38.91,15145263.0,885129393.0
2019-03-19,38.26,39.3,37.39,37.95,9860420.0,581256971.0
2019-03-20,37.93,38.96,36.9,37.42,8623223.0,502944873.0
2019-03-21,37.34,37.42,36.54,36.86,6821836.0,387736334.0
2019-03-22,36.82,37.89,36.63,37.41,6498048.0,374654420.0
2019-03-25,36.32,36.96,35.99,36.54,6070566.0,341986268.0
